Line,Strat Time,End Time
"Oh, we're outof the vegetarian too.","00:26:11,696 "," 00:26:14,074"
Now we only have beef.,"00:26:14,658 "," 00:26:15,867"
"Beef. 'Cause that's allyou have, right?","00:26:16,952 "," 00:26:18,954"
" Okay, you'll have the beef. Yes.","00:26:19,120 "," 00:26:20,330"
 And... Beef.,"00:26:20,413 "," 00:26:21,414"
 And the beef. Two beefs.,"00:26:21,498 "," 00:26:23,458"
Did you go through with it?,"00:26:29,506 "," 00:26:30,924"
"I knew that I couldn'tgo back to him, so I just...","00:26:38,306 "," 00:26:40,976"
ran.,"00:26:42,852 "," 00:26:44,062"
I know this is a lotto dump on you.,"00:26:48,817 "," 00:26:51,361"
I'm sorry about your mom.,"00:26:55,782 "," 00:26:57,951"
I should also probably mention,"00:27:03,873 "," 00:27:05,834"
that my name'snot technically Shaun.,"00:27:05,917 "," 00:27:08,795"
What?,"00:27:10,171 "," 00:27:11,172"
What is it?,"00:27:12,215 "," 00:27:13,216"
It's ShangChi.,"00:27:13,925 "," 00:27:16,094"
ShaunChi.,"00:27:16,678 "," 00:27:17,804"
No. ShangChi.,"00:27:17,887 "," 00:27:19,347"
ShaunChi.,"00:27:19,681 "," 00:27:20,890"
Shang.,"00:27:21,516 "," 00:27:22,517"
 Shaun. Shang.,"00:27:22,684 "," 00:27:23,685"
Shan.,"00:27:24,227 "," 00:27:25,228"
SHANG. Shang.,"00:27:25,395 "," 00:27:27,397"
Shang?,"00:27:27,981 "," 00:27:29,357"
Yeah.,"00:27:29,524 "," 00:27:30,525"
You changed your namefrom Shang to Shaun?,"00:27:30,692 "," 00:27:33,903"
"Yeah, I don't... Yeah.","00:27:34,070 "," 00:27:35,947"
I wonder howyour father found you.,"00:27:36,114 "," 00:27:37,615"
"Okay, I was 15 years old.All right?","00:27:37,782 "," 00:27:39,200"
What is yourname change logic?,"00:27:39,284 "," 00:27:41,244"
You're going into hiding.,"00:27:41,328 "," 00:27:42,454"
" Okay. And your name is Michael,","00:27:42,620 "," 00:27:43,955"
you go onand change it to Mishael.,"00:27:44,039 "," 00:27:45,874"
That's not what happened.,"00:27:46,124 "," 00:27:48,084"
"It's like,Hi, my name's Gina.","00:27:48,251 "," 00:27:49,419"
I'm gonna go into hiding.My new name's Gina.,"00:27:49,502 "," 00:27:51,463"
Can't hear you. I'm sorry.,"00:27:51,629 "," 00:27:52,630"
"Yeah, okay.Oh, yeah, you can hear me.","00:27:52,714 "," 00:27:54,299"
Sign here to get in.,"00:28:36,341 "," 00:28:38,927"
"I'm looking for my sister,Xu Xialing.","00:28:42,847 "," 00:28:45,308"
Have you heard of her?,"00:28:45,558 "," 00:28:47,644"
This is the address she gave me.,"00:28:49,354 "," 00:28:51,606"
Okay.,"00:28:55,902 "," 00:28:57,195"
Seems like a nice fella.,"00:28:58,446 "," 00:29:00,365"
And this elevatoris definitely up to code.,"00:29:00,532 "," 00:29:02,367"
There's absolutely no chanceof it just falling off,"00:29:02,450 "," 00:29:03,701"
the side of the building...,"00:29:03,785 "," 00:29:04,786"
Bus Boy!,"00:29:08,623 "," 00:29:09,624"
Uh...,"00:29:10,125 "," 00:29:11,501"
"2 million viewsin 3 days, bro!","00:29:11,584 "," 00:29:15,046"
"Damn, dude.","00:29:15,130 "," 00:29:16,214"
"Oh, no.","00:29:16,423 "," 00:29:17,632"
And you're the driver!,"00:29:19,300 "," 00:29:20,718"
"Oh, my Chinese sucks.","00:29:22,679 "," 00:29:24,347"
"Oh, all good.","00:29:24,681 "," 00:29:25,682"
" I speak ABC. Oh, great.","00:29:25,765 "," 00:29:27,392"
 I'm Jon Jon. Jon Jon.,"00:29:27,559 "," 00:29:28,935"
Welcometo the Golden Daggers Club.,"00:29:29,144 "," 00:29:32,105"
"Okay,let's get you ready to fight.","00:29:32,480 "," 00:29:34,774"
Wait. What?,"00:29:34,941 "," 00:29:36,025"
We're a multiplatformglobal operation.,"00:29:36,192 "," 00:29:38,695"
Every fight livestreamedon the dark web.,"00:29:38,862 "," 00:29:40,989"
Thousands of viewersplacing bets as we speak.,"00:29:41,156 "," 00:29:43,658"
This is gonna take your brandto a whole new level.,"00:29:43,867 "," 00:29:46,035"
Think there's beensome sort of confusion.,"00:29:46,202 "," 00:29:47,745"
I like your spike face.,"00:29:47,829 "," 00:29:49,080"
Thanks!,"00:29:49,164 "," 00:29:50,165"
"Usually, you gottafight your way to centre ring,","00:29:50,290 "," 00:29:51,916"
but a viral star like you?,"00:29:52,000 "," 00:29:53,042"
"Front of line, baby.","00:29:53,209 "," 00:29:54,210"
I'm not hereto fight anybody. Okay?,"00:29:54,377 "," 00:29:55,795"
"I'm lookingfor my sister, Xu Xialing.","00:29:56,004 "," 00:29:57,422"
Never heard of her.,"00:29:58,965 "," 00:29:59,966"
"We just lost a fighterat the last minute,","00:30:00,091 "," 00:30:01,926"
so you get the next slot.,"00:30:02,093 "," 00:30:03,970"
"Nice one, Helen.","00:30:10,685 "," 00:30:12,103"
Is he gonna befighting in one of these?,"00:30:13,062 "," 00:30:14,731"
"Oh, no, no, no. These arelike lowlevel fights.","00:30:14,814 "," 00:30:17,901"
You're gonna befighting up there.,"00:30:18,067 "," 00:30:22,322"
"That hurt, Emil.","00:30:34,709 "," 00:30:37,629"
You want me to show youhow it feels?,"00:30:37,712 "," 00:30:39,756"
Wong! Wong! Wong!,"00:30:48,973 "," 00:30:51,643"
Wong! Wong! Wong!,"00:30:51,809 "," 00:30:54,479"
"Go, Wong!","00:30:54,646 "," 00:30:56,147"
I always bet on Asian.,"00:30:56,314 "," 00:30:57,774"
"Oh, my God.","00:30:57,941 "," 00:30:59,400"
"Yeah, look, I'm notgoing up there, okay?","00:30:59,567 "," 00:31:01,361"
" I'm just trying to... Whoa, whoa, whoa.","00:31:01,444 "," 00:31:02,779"
It's too late to back out now.,"00:31:02,862 "," 00:31:03,905"
" You already committed, bro. What?","00:31:03,988 "," 00:31:05,657"
"You signedthe contract, remember?","00:31:05,740 "," 00:31:07,784"
Your name's on the roster.,"00:31:07,951 "," 00:31:09,285"
The bets are piling in.,"00:31:09,494 "," 00:31:11,204"
" Really? What's our cut? Oh, it's huge.","00:31:11,371 "," 00:31:13,414"
It doesn't matter.,"00:31:13,581 "," 00:31:14,582"
It matters.,"00:31:14,749 "," 00:31:15,833"
"Dude, I saw youfight 5 assassins","00:31:16,459 "," 00:31:18,711"
and a giant Romanianwith a razor for an arm,"00:31:18,795 "," 00:31:20,755"
on a moving bus.,"00:31:20,922 "," 00:31:22,215"
This is just one guy.,"00:31:22,382 "," 00:31:23,591"
"Just do it.Then we all get paid,","00:31:23,758 "," 00:31:26,219"
and then I'll help you findwhoever you're looking for.,"00:31:26,386 "," 00:31:29,305"
Come on. You got this.,"00:31:29,514 "," 00:31:30,974"
 You got this. Don't be nervous.,"00:31:31,057 "," 00:31:32,433"
Thank you.,"00:31:32,600 "," 00:31:33,601"
 Yeah. Yeah.,"00:31:33,685 "," 00:31:34,769"
How's the jaw?,"00:31:41,901 "," 00:31:44,028"
Maybe you'll startcontrolling those punches,"00:31:46,155 "," 00:31:48,157"
like we practised?,"00:31:48,241 "," 00:31:49,576"
Love that guy.,"00:31:55,081 "," 00:31:56,416"
Now take your shirt off.,"00:31:57,959 "," 00:31:59,377"
"Ladies and gentlemen,","00:31:59,919 "," 00:32:01,838"
the fight we've allbeen waiting for.,"00:32:01,921 "," 00:32:04,257"
"The incredibleviral sensation,","00:32:04,716 "," 00:32:07,135"
"all the wayfrom San Francisco, USA,","00:32:07,302 "," 00:32:11,264"
