Line,Strat Time,End Time
"who will not rest until Xandarian culture, my culture,","00:17:28,480 "," 00:17:32,769"
" is wiped from existence! Whoa, whoa!","00:17:32,880 "," 00:17:34,041"
 Come on. He's someone,"00:17:34,120 "," 00:17:35,531"
whose bad side I'd rather not be on.,"00:17:35,680 "," 00:17:37,011"
What? What about my bad side?,"00:17:37,160 "," 00:17:38,810"
"Farewell, Mr. Quill.","00:17:38,920 "," 00:17:40,251"
"Hey, we had a deal, bro!","00:17:42,480 "," 00:17:43,925"
What happened?,"00:17:50,000 "," 00:17:51,081"
"Ah, this guy just backed out of a deal on me.","00:17:53,320 "," 00:17:56,244"
"If there's one thing I hate, it's a man without integrity.","00:17:56,400 "," 00:17:58,482"
Peter Quill. People call me StarLord.,"00:17:58,680 "," 00:18:00,330"
You have the bearing of a man of honor.,"00:18:01,840 "," 00:18:04,081"
"Well, you know, I wouldn't say that.","00:18:04,200 "," 00:18:06,328"
"People say it about me, all the time,","00:18:07,160 "," 00:18:10,050"
but it's not something I would ever say about myself.,"00:18:10,160 "," 00:18:11,988"
Ooh!,"00:18:13,520 "," 00:18:14,681"
This wasn't the plan.,"00:18:30,440 "," 00:18:31,601"
Ah!,"00:18:32,320 "," 00:18:33,560"
Put him in the bag.Put him in the bag!,"00:18:34,160 "," 00:18:36,322"
"No! Not her, him!","00:18:36,440 "," 00:18:38,727"
"Learn genders, man.","00:18:38,880 "," 00:18:40,291"
Ow!,"00:18:40,680 "," 00:18:42,011"
Biting? That's not fair!,"00:18:42,120 "," 00:18:43,849"
Take it easy!,"00:18:47,240 "," 00:18:48,969"
Ow!,"00:18:55,600 "," 00:18:56,726"
Fool. You should have learned.,"00:19:17,680 "," 00:19:19,364"
I don't learn. One of my issues.,"00:19:19,480 "," 00:19:21,289"
What the...,"00:19:30,000 "," 00:19:31,650"
"Quit smiling, you idiot.You're supposed to be a professional.","00:19:34,920 "," 00:19:38,003"
You gotta be kidding me.,"00:19:39,280 "," 00:19:40,805"
Ooh. Hey!,"00:19:40,880 "," 00:19:42,609"
I live for the simple things.,"00:20:00,280 "," 00:20:02,726"
Like how much this is gonna hurt.,"00:20:02,880 "," 00:20:05,087"
"Yeah. Writhe, little man.","00:20:10,000 "," 00:20:12,002"
"It'll grow back, you d'ast idiot.","00:20:14,160 "," 00:20:15,605"
Quit whining.,"00:20:15,720 "," 00:20:17,210"
"Subject 89P13, drop your weapon.","00:20:25,600 "," 00:20:28,809"
"Aw, crap.","00:20:29,480 "," 00:20:31,005"
"By the authority of the Nova Corps,","00:20:31,120 "," 00:20:32,565"
 you are under arrest... All right. Come on up.,"00:20:32,640 "," 00:20:34,449"
...for endangerment to lifeand the destruction of property.,"00:20:34,520 "," 00:20:36,727"
Hey! If it isn't StarPrince.,"00:20:36,800 "," 00:20:39,929"
" StarLord. Oh, sorry. Lord.","00:20:40,080 "," 00:20:43,289"
I picked this guy up a while back for petty theft.,"00:20:43,440 "," 00:20:45,522"
He's got a code name.,"00:20:45,640 "," 00:20:47,085"
Yeah. Stay out of the way.,"00:20:47,160 "," 00:20:48,207"
"Come on, man. It's a...It's an outlaw name.","00:20:48,280 "," 00:20:50,169"
"Just relax, pal.","00:20:50,240 "," 00:20:51,969"
It's cool to have a code name.It's not that weird.,"00:20:52,040 "," 00:20:54,247"
Fascists.,"00:20:55,720 "," 00:20:57,245"
Ronan is destroying,"00:21:10,680 "," 00:21:11,841"
Xandarian outposts throughout the galaxy.,"00:21:11,920 "," 00:21:14,127"
I should think that would call for someslight response on the part of the Kree.,"00:21:14,280 "," 00:21:18,205"
"We signed your peace treaty, Nova Prime.","00:21:18,685 "," 00:21:20,065"
What more do you want?,"00:21:20,080 "," 00:21:21,286"
At least a statement from the Kree Empire,"00:21:21,400 "," 00:21:23,164"
saying that they condemn his actions.,"00:21:23,240 "," 00:21:25,481"
He is slaughtering children.,"00:21:25,680 "," 00:21:28,081"
Families.,"00:21:28,560 "," 00:21:29,607"
That is your business.,"00:21:29,760 "," 00:21:32,047"
"Now, I have other matters to attend to.","00:21:32,120 "," 00:21:34,168"
Prick.,"00:21:35,600 "," 00:21:36,601"
"Well, some good news.","00:21:38,560 "," 00:21:40,210"
It looks like we've apprehendedone of Ronan's compatriots.,"00:21:40,400 "," 00:21:43,449"
Gamora.,"00:21:43,920 "," 00:21:45,081"
Surgically modified and trained as a living weapon.,"00:21:45,720 "," 00:21:48,166"
"The adopted daughter of the Mad Titan, Thanos.","00:21:48,320 "," 00:21:50,800"
"Recently, Thanos lent herand her sister Nebula out to Ronan,","00:21:51,240 "," 00:21:54,369"
which leads us to believe that Thanosand Ronan are working together.,"00:21:54,520 "," 00:21:57,729"
Subject 89P13. Calls itself Rocket.,"00:21:57,920 "," 00:22:02,084"
The result of illegal genetic,"00:22:02,360 "," 00:22:03,725"
and cybernetic experiments,"00:22:03,840 "," 00:22:05,330"
on a lower life form.,"00:22:05,400 "," 00:22:06,606"
What the hell?,"00:22:07,040 "," 00:22:08,804"
They call it Groot.,"00:22:09,200 "," 00:22:10,725"
A humanoid plant that's been traveling recently,"00:22:10,880 "," 00:22:13,326"
as 89P13's personal houseplant/muscle.,"00:22:13,400 "," 00:22:16,609"
"Peter Jason Quill, from Terra.","00:22:18,080 "," 00:22:20,765"
"Raised from youth by a bandof mercenaries called the Ravagers,","00:22:21,000 "," 00:22:24,004"
led by Yondu Udonta.,"00:22:24,160 "," 00:22:25,924"
"Oh, I'm sorry.","00:22:26,080 "," 00:22:27,570"
I didn't know how this machine worked.,"00:22:27,720 "," 00:22:30,610"
What a bunch of aholes.,"00:22:30,760 "," 00:22:32,842"
Transport all four to the Kyln.,"00:22:33,400 "," 00:22:35,846"
"I guess most of Nova Corps wanna uphold the laws,","00:22:38,720 "," 00:22:42,088"
"but these ones here, they're corrupt and cruel.","00:22:42,240 "," 00:22:45,608"
"But, hey, that's not my problem.","00:22:45,920 "," 00:22:48,002"
I ain't gonna be here long.,"00:22:48,160 "," 00:22:49,730"
I've escaped 22 prisons.This one's no different.,"00:22:49,880 "," 00:22:53,282"
"You're lucky the broad showed up,","00:22:53,440 "," 00:22:54,771"
"because otherwise, me and Groot","00:22:54,840 "," 00:22:56,046"
"would be collecting that bounty right now,","00:22:56,120 "," 00:22:57,963"
and you'd be getting drawn and quartered,"00:22:58,040 "," 00:22:59,963"
by Yondu and those Ravagers.,"00:23:00,120 "," 00:23:01,087"
I've had a lot of folks try to kill me over the years.,"00:23:01,160 "," 00:23:03,367"
I ain't about to be brought downby a tree and a talking raccoon.,"00:23:03,440 "," 00:23:06,205"
Hold.,"00:23:06,320 "," 00:23:07,321"
 What's a raccoon? What's a raccoon?,"00:23:07,480 "," 00:23:09,323"
"It's what you are, stupid.","00:23:09,480 "," 00:23:10,720"
"Ain't no thing like me, except me.","00:23:10,880 "," 00:23:13,645"
"So, this Orb has a real shiny blue suitcase,","00:23:14,000 "," 00:23:16,606"
"Ark of the Covenant, Maltese Falcon sort of vibe.","00:23:16,680 "," 00:23:19,729"
 What is it? I am Groot.,"00:23:20,320 "," 00:23:21,651"
So what? What's the Orb?,"00:23:21,800 "," 00:23:23,450"
I have no words for an honorless thief.,"00:23:23,600 "," 00:23:25,728"
Pretty high and mighty coming from the lackey,"00:23:25,920 "," 00:23:28,127"
of a genocidal maniac.,"00:23:28,280 "," 00:23:29,406"
"Yeah, I know who you are.","00:23:29,480 "," 00:23:31,403"
Anyone who's anyone knows who you are.,"00:23:31,480 "," 00:23:33,482"
"Yeah, we know who you are.","00:23:33,680 "," 00:23:35,170"
 Who is she? I am Groot.,"00:23:35,240 "," 00:23:37,766"
"Yeah, you said that.","00:23:37,840 "," 00:23:39,808"
I wasn't retrieving the Orb for Ronan.,"00:23:40,520 "," 00:23:43,000"
I was betraying him.,"00:23:43,160 "," 00:23:44,810"
I had an agreement to sell it to a third party.,"00:23:44,960 "," 00:23:46,962"
I am Groot.,"00:23:48,880 "," 00:23:50,291"
"Well, that's just as fascinatingas the first 89 times you told me that.","00:23:50,440 "," 00:23:54,684"
"What is wrong with Giving Tree, here?","00:23:54,760 "," 00:23:56,842"
"Well, he don't know talking good like me and you.","00:23:57,000 "," 00:23:59,287"
So his vocabulistics is limitedto I and am and Groot.,"00:23:59,360 "," 00:24:03,445"
Exclusively in that order.,"00:24:03,520 "," 00:24:05,170"
"I tell you what, that's gonna wear real thin, real fast.","00:24:05,320 "," 00:24:07,527"
Hey.,"00:24:08,920 "," 00:24:10,126"
Put that away.,"00:24:10,280 "," 00:24:11,361"
Hey!,"00:24:11,640 "," 00:24:13,802"
"Listen to me, you big blue bastard.Take those headphones off.","00:24:13,880 "," 00:24:16,121"
That's mine. Those belong to impound.,"00:24:16,280 "," 00:24:17,930"
