Line,Strat Time,End Time
"No, this is detachable.It's not a...","00:12:15,194 "," 00:12:16,320"
You don't need that.,"00:12:16,487 "," 00:12:17,947"
"I know, I had the surgery.","00:12:18,280 "," 00:12:19,365"
I'm justtrying to protect us...,"00:12:19,448 "," 00:12:20,491"
and future ussesand that's it.,"00:12:20,574 "," 00:12:22,326"
Just in case there's a monsterin the closet.,"00:12:22,493 "," 00:12:24,078"
" Instead of, you know... Shirts.","00:12:24,161 "," 00:12:26,080"
You know me so well.,"00:12:27,748 "," 00:12:29,208"
 God. You finish all my sentences.,"00:12:29,291 "," 00:12:32,002"
You should have shirtsin your closet.,"00:12:32,545 "," 00:12:34,422"
Yeah.,"00:12:34,797 "," 00:12:35,798"
You know what there should be?No more surprises.,"00:12:36,632 "," 00:12:38,342"
We're gonna havea nice dinner tonight.,"00:12:38,509 "," 00:12:39,677"
Show off this Harry Winston.,"00:12:39,760 "," 00:12:41,971"
Right? And we should haveno more surprises. Ever.,"00:12:42,054 "," 00:12:44,390"
I should promise you.,"00:12:44,557 "," 00:12:45,599"
 Yes. I will.,"00:12:45,766 "," 00:12:47,059"
Thank you.,"00:12:49,520 "," 00:12:50,563"
Tony Stark.,"00:12:50,646 "," 00:12:51,814"
I'm Doctor Stephen Strange.I need you to come with me.,"00:12:51,981 "," 00:12:54,984"
"Oh, uh, congratulationson the wedding, by the way.","00:12:56,986 "," 00:12:59,572"
"I'm sorry, you giving outtickets to something?","00:12:59,738 "," 00:13:01,615"
We need your help.,"00:13:01,699 "," 00:13:03,117"
It's not overselling itto say that,"00:13:03,909 "," 00:13:05,494"
the fate of the universeis at stake.,"00:13:05,578 "," 00:13:07,121"
And who's we?,"00:13:07,204 "," 00:13:08,747"
"Hey, Tony.","00:13:10,458 "," 00:13:11,500"
Bruce.,"00:13:11,584 "," 00:13:12,710"
 Pepper. Hi.,"00:13:12,877 "," 00:13:14,503"
 Oh. You okay?,"00:13:17,506 "," 00:13:19,133"
"At the dawnof the universe,","00:13:20,926 "," 00:13:23,095"
there was nothing. Then...,"00:13:23,179 "," 00:13:25,139"
