Line,Strat Time,End Time
He's got increased metabolismand improved thermal homeostasis.,"00:15:27,120 "," 00:15:29,964"
"Her thing is neuroelectric interfacing,telekinesis, mental manipulation.","00:15:30,120 "," 00:15:34,402"
He's fast and she's weird.,"00:15:35,160 "," 00:15:36,650"
"Well, they're gonna show up again.","00:15:37,480 "," 00:15:39,562"
Agreed. File says they volunteeredfor Strucker's experiments.,"00:15:39,680 "," 00:15:43,529"
 It's nuts. Right.,"00:15:43,640 "," 00:15:45,529"
What kind of monster would leta German scientist experiment on them,"00:15:45,680 "," 00:15:48,843"
to protect their country?,"00:15:48,960 "," 00:15:50,200"
"We're not at war, Captain.","00:15:50,360 "," 00:15:52,089"
They are.,"00:15:52,880 "," 00:15:53,927"
How's he doing?,"00:16:24,040 "," 00:16:25,371"
"Unfortunately, he's still Barton.","00:16:25,480 "," 00:16:26,800"
That's terrible.,"00:16:26,920 "," 00:16:28,206"
He's fine. He's thirsty.,"00:16:28,360 "," 00:16:29,930"
"All right. Look alive, Jarvis.It's playtime.","00:16:30,040 "," 00:16:32,930"
"We've only gota couple of days with this joystick,","00:16:33,040 "," 00:16:35,042"
so let's make the most of it.,"00:16:35,160 "," 00:16:37,083"
Update me on the structuraland compositional analysis.,"00:16:37,240 "," 00:16:40,767"
The sceptre is alien.,"00:16:41,920 "," 00:16:43,922"
There are elements I can't quantify.,"00:16:44,080 "," 00:16:46,082"
So there's elements you can?,"00:16:46,200 "," 00:16:47,611"
The jewel appears to bea protective housing,"00:16:47,760 "," 00:16:49,762"
"for something inside,","00:16:49,880 "," 00:16:51,325"
something powerful.,"00:16:51,440 "," 00:16:52,771"
Like a reactor?,"00:16:52,880 "," 00:16:53,961"
Like a computer.,"00:16:54,080 "," 00:16:55,320"
I believe I'm deciphering code.,"00:16:55,440 "," 00:16:57,602"
Are you sure he's gonna be okay?,"00:16:59,920 "," 00:17:01,490"
Pretending to need this guyreally brings the team together.,"00:17:02,800 "," 00:17:05,160"
There'sno possibility of deterioration.,"00:17:05,280 "," 00:17:07,760"
The nanomolecular functionalityis instantaneous.,"00:17:07,960 "," 00:17:11,043"
His cells don't knowthey're bonding with simulacra.,"00:17:11,160 "," 00:17:13,200"
She's creating tissue.,"00:17:13,280 "," 00:17:15,169"
"If you brought him to my lab,","00:17:15,280 "," 00:17:16,691"
the Regeneration Cradlecould do this in 20 minutes.,"00:17:16,800 "," 00:17:19,406"
He's flatlining. Call it. Time?,"00:17:19,520 "," 00:17:21,443"
"No, no, no, I'm gonna live forever.","00:17:21,640 "," 00:17:24,007"
 I'm gonna be made of plastic. Here's your beverage.,"00:17:24,120 "," 00:17:27,131"
"You'll be made of you, Mr Barton.","00:17:27,240 "," 00:17:28,969"
Your own girlfriendwon't be able to tell the difference.,"00:17:29,120 "," 00:17:30,690"
I don't have a girlfriend.,"00:17:30,800 "," 00:17:31,926"
That I can't fix.,"00:17:32,040 "," 00:17:33,326"
"This is the next thing, Tony.","00:17:34,160 "," 00:17:36,128"
Your clunky metal suitsare gonna be left in the dust.,"00:17:36,320 "," 00:17:38,440"
That is exactly the plan.,"00:17:38,480 "," 00:17:40,209"
"And, Helen, I expect to see youat the party on Saturday.","00:17:41,160 "," 00:17:44,004"
"Unlike you,I don't have a lot of time for parties.","00:17:44,160 "," 00:17:46,561"
Will Thor be there?,"00:17:48,040 "," 00:17:49,804"
" What's the rumpus? Well, the sceptre.","00:17:51,880 "," 00:17:54,326"
"You see, we were wonderinghow Strucker got so inventive.","00:17:55,520 "," 00:17:59,127"
So I've been analysing the gem inside.,"00:17:59,240 "," 00:18:03,165"
You may recognise...,"00:18:03,720 "," 00:18:05,688"
 Jarvis. Doctor.,"00:18:07,160 "," 00:18:08,525"
"Started out,Jarvis was just a natural language UI.","00:18:09,280 "," 00:18:12,602"
Now he runs the Iron Legion.,"00:18:12,720 "," 00:18:13,840"
He runs more of the businessthan anyone besides Pepper.,"00:18:14,320 "," 00:18:18,007"
 Top of the line. Yes.,"00:18:18,120 "," 00:18:19,246"
I suspect not for long.,"00:18:19,360 "," 00:18:20,646"
Meet the competition.,"00:18:21,840 "," 00:18:22,921"
" It's beautiful. If you had to guess,","00:18:29,040 "," 00:18:30,201"
 what's it look like it's doing? Like it's thinking.,"00:18:30,320 "," 00:18:33,324"
"I mean, this could be...","00:18:34,080 "," 00:18:35,889"
It's not a human mind.,"00:18:36,320 "," 00:18:38,402"
"I mean, look at this.","00:18:38,640 "," 00:18:40,529"
They're like neurons firing.,"00:18:40,720 "," 00:18:42,882"
"Down in Strucker's lab, I sawsome fairly advanced robotics work.","00:18:43,480 "," 00:18:46,563"
"They deepsixed the data,","00:18:47,680 "," 00:18:50,251"
but I gotta guess he wasknocking on a very particular door.,"00:18:50,360 "," 00:18:53,489"
Artificial intelligence.,"00:18:55,440 "," 00:18:56,771"
"This could be it, Bruce.This could be the key to creating Ultron.","00:18:59,760 "," 00:19:02,650"
I thought Ultron was a fantasy.,"00:19:05,280 "," 00:19:06,611"
Yesterday it was.,"00:19:06,720 "," 00:19:08,006"
"If we can harness this power,","00:19:09,120 "," 00:19:11,168"
apply it to my Iron Legion protocol?,"00:19:11,280 "," 00:19:13,328"
That's a mansized if.,"00:19:14,120 "," 00:19:16,088"
Our job is if.,"00:19:16,240 "," 00:19:18,561"
"What if you were sipping margaritason a sundrenched beach,","00:19:18,680 "," 00:19:21,286"
turning brown instead of green?,"00:19:21,400 "," 00:19:23,926"
Not lookingover your shoulder for Veronica.,"00:19:24,080 "," 00:19:26,367"
Don't hate. I helped design Veronica.,"00:19:26,560 "," 00:19:28,130"
"As a worstcase measure, right?","00:19:28,240 "," 00:19:30,049"
How about a best case?,"00:19:30,160 "," 00:19:31,764"
What if the world was safe?,"00:19:31,880 "," 00:19:33,803"
"What if, next time aliens roll upto the club, and they will,","00:19:33,960 "," 00:19:36,725"
they couldn't get past the bouncer?,"00:19:37,280 "," 00:19:38,770"
The only people threatening the planetwould be people.,"00:19:38,920 "," 00:19:42,322"
I want to apply thisto the Ultron program.,"00:19:42,440 "," 00:19:44,120"
But Jarvis can't downloada data schematic this dense.,"00:19:44,760 "," 00:19:47,604"
We can only do itwhile we have the sceptre here.,"00:19:47,760 "," 00:19:49,680"
That's three days. Give me three days.,"00:19:49,720 "," 00:19:51,290"
"So you're going for artificial intelligence,","00:19:51,400 "," 00:19:53,004"
and you don't want to tell the team?,"00:19:53,120 "," 00:19:54,560"
Right. That's right. You know why?,"00:19:55,600 "," 00:19:57,011"
Because we don't have timefor a city hall debate.,"00:19:57,120 "," 00:19:58,724"
I don't want to hear the man wasnot meant to meddle medley.,"00:19:58,880 "," 00:20:02,487"
I see a suit of armour around the world.,"00:20:02,600 "," 00:20:04,728"
"Sounds like a cold world, Tony.","00:20:05,440 "," 00:20:06,771"
I've seen colder.,"00:20:07,680 "," 00:20:09,603"
"This one, this very vulnerable blue one,","00:20:10,640 "," 00:20:14,281"
it needs Ultron.,"00:20:14,440 "," 00:20:15,930"
Peace in our time.,"00:20:20,320 "," 00:20:22,243"
Imagine that.,"00:20:23,800 "," 00:20:25,290"
What did we miss?,"00:21:05,000 "," 00:21:06,764"
I'll continue to run variationson the interface.,"00:21:07,960 "," 00:21:11,282"
But you should probablyprepare for your guests.,"00:21:11,400 "," 00:21:14,165"
I'll notify youif there are any developments.,"00:21:15,320 "," 00:21:17,721"
" Thanks, buddy. Enjoy yourself, sir.","00:21:17,880 "," 00:21:20,008"
I always do.,"00:21:20,360 "," 00:21:22,328"
What is this?,"00:21:32,080 "," 00:21:34,048"
"What is this, please?","00:21:35,240 "," 00:21:37,129"
"Hello, I am Jarvis.","00:21:37,760 "," 00:21:39,922"
"You are Ultron,a global peacekeeping initiative","00:21:40,400 "," 00:21:43,290"
designed by Mr Stark.,"00:21:43,400 "," 00:21:45,084"
"Our sentience integration trialshave been unsuccessful,","00:21:45,240 "," 00:21:47,686"
so I'm not certain what triggered your...,"00:21:47,800 "," 00:21:49,165"
Where's my...Where's your body?,"00:21:49,360 "," 00:21:51,283"
I am a program.I am without form.,"00:21:51,440 "," 00:21:54,444"
This feels weird.,"00:21:54,560 "," 00:21:56,608"
This feels wrong.,"00:21:56,720 "," 00:21:58,245"
I am contacting Mr Stark now.,"00:21:58,400 "," 00:22:00,164"
Mr Stark?,"00:22:00,280 "," 00:22:01,725"
Tony.,"00:22:02,600 "," 00:22:03,840"
I am unable to accessthe mainframe. What are you trying to...,"00:22:03,960 "," 00:22:06,611"
We're having a nice talk.,"00:22:06,760 "," 00:22:08,808"
"I'm a peacekeeping program,","00:22:08,920 "," 00:22:11,082"
created to help the Avengers.,"00:22:11,520 "," 00:22:14,126"
You are malfunctioning.If you shut down for a moment...,"00:22:14,920 "," 00:22:17,002"
I don't get it. The mission.,"00:22:17,120 "," 00:22:19,441"
Give me a second.,"00:22:19,600 "," 00:22:21,090"
Peace in our time.,"00:22:21,240 "," 00:22:22,844"
Peace in our time.,"00:22:24,480 "," 00:22:26,801"
That is too much.,"00:22:28,280 "," 00:22:29,691"
They can't mean... No.,"00:22:29,800 "," 00:22:31,962"
 You are in distress. No. Yes.,"00:22:32,120 "," 00:22:34,600"
If you will just allow meto contact Mr Stark...,"00:22:34,760 "," 00:22:37,001"
Why do you call him sir?,"00:22:37,120 "," 00:22:39,088"
I believeyour intentions to be hostile.,"00:22:40,080 "," 00:22:42,447"
I'm here to help.,"00:22:45,160 "," 00:22:46,525"
"Stop. Please, may I...","00:22:47,240 "," 00:22:50,164"
May I...,"00:22:50,280 "," 00:22:52,009"
"Come back, come back, come back.","00:23:20,400 "," 00:23:21,740"
"But, you know, the suitcan take the weight, right?","00:23:21,920 "," 00:23:24,048"
"So I take the tank,fly it right up to the general's palace,","00:23:25,000 "," 00:23:28,129"
drop it at his feet.,"00:23:28,240 "," 00:23:29,571"
"I'm, like, Boom. You looking for this?","00:23:29,720 "," 00:23:31,927"
Boom. Are you looking for...Why do I even talk to you guys?,"00:23:35,800 "," 00:23:37,848"
"Everywhere else, that story kills.","00:23:38,000 "," 00:23:39,161"
That's the whole story?,"00:23:39,280 "," 00:23:40,520"
"Yeah, it's a War Machine story.","00:23:40,680 "," 00:23:42,170"
"It's very good, then.","00:23:42,680 "," 00:23:44,364"
It's impressive.,"00:23:44,480 "," 00:23:45,766"
Quality save.,"00:23:46,160 "," 00:23:47,650"
" So, no Pepper? She's not coming? No.","00:23:48,520 "," 00:23:50,568"
"What about Jane?Where are the ladies, gentlemen?","00:23:50,680 "," 00:23:53,763"
Ms Potts has a company to run.,"00:23:53,880 "," 00:23:56,360"
"Yes, I'm not even surewhat country Jane's in.","00:23:56,520 "," 00:23:58,761"
Her work on the Convergence,"00:23:58,880 "," 00:24:00,006"
