Speaker,Line
Councilman Rockwell,"More trouble, Mr Secretary."
Alexander Pierce,It depends on your definition.
Alexander Pierce,I work forty floors away and it takes a hijacking for you to visit.
Nick Fury,A nuclear war would do it too.
Nick Fury,Busy in there.
Alexander Pierce,Nothing some earmarks cant fix.
Nick Fury,"Im, uh.here to ask a favor. I want you to call for a vote. Project insight has to be delayed."
Alexander Pierce,"Nick, thats not a favor, thats a subcommittee hearing. A long one."
Nick Fury,"It could be nothing, probably is nothing. I just need time to make sure its nothing."
Alexander Pierce,What if its something.
Nick Fury,Then well both be damn glad those Helicarriers arent in the air.
Alexander Pierce,Fine. But you gotta get Iron Man to stop by my nieces birthday party.
Nick Fury,"Thank you, sir."
Alexander Pierce,"And not just a flyby, hes got to mingle."
Female War Veteran,"The thing is I think its getting worse. A cop pulled me over last week, he thought I was drunk. I swerved to miss a plastic bag. I thought it was an IED."
Sam Wilson,"Some stuff you leave there, other stuff you bring back. Its our job to figure out how to carry it. Is it gonna be in a big suitcase or in a little man-purse. Its up to you."
Female War Veteran,Ill see you next week.
Sam Wilson,Yeah.
Female War Veteran,Yeah.
Sam Wilson,Look who it is. The running man.
Steve Rogers,Caught the last few minutes. Its pretty intense.
Sam Wilson,"Yeah, brother, we all got the same problems. Guilt, regret."
Steve Rogers,You lose someone.
Sam Wilson,"My wingman, Riley. Flying a night mission.Standard PJ rescue op, nothing we hadnt done a thousand times before, till RPG knock Rileys dumb ass out of the sky. Nothing I could do. Its like I was up there just to watch."
Steve Rogers,Im sorry.
Sam Wilson,"After that, I had really hard time finding a reason for being over there, you know."
Steve Rogers,"But youre happy now, back in the world."
Sam Wilson,"Hey, the number of people giving me orders is down to about zero. So, hell, yeah. You thinking about getting out."
Steve Rogers,"No. I dont know. To be honest, I dont know what I would do with myself if I did."
Sam Wilson,"Ultimate fighting. Its just a great idea off the top of my head. But seriously, you could do whatever you want to do. What makes you happy."
Steve Rogers,I dont know.
Fury's Car,Activating communications encryption protocol.
Nick Fury,Open secure line zero-four-zero-five.
Fury's Car,Confirmed.
Maria Hill,This is Hill.
Nick Fury,I need you here in D.C. Deep shadow conditions.
Maria Hill,Give me four hours.
