Line,Strat Time,End Time
"No, that's your mission,","00:12:53,613 "," 00:12:55,456"
and you've done it beautifully.,"00:12:57,293 "," 00:12:58,533"
You just jeopardisedthis whole operation.,"00:12:59,453 "," 00:13:01,217"
I think that's overstating things.,"00:13:01,413 "," 00:13:02,778"
Okay.,"00:13:20,773 "," 00:13:21,899"
That one's on me.,"00:13:22,613 "," 00:13:23,819"
You're damn right.,"00:13:24,853 "," 00:13:26,218"
"You just can't stop yourselffrom lying, can you?","00:13:55,093 "," 00:13:57,188"
I didn't lie.,"00:13:57,213 "," 00:13:58,308"
Agent Romanoffhad a different mission than yours.,"00:13:58,333 "," 00:13:59,698"
Which you didn't feel obliged to share.,"00:13:59,893 "," 00:14:01,657"
I'm not obliged to do anything.,"00:14:01,853 "," 00:14:03,423"
"Those hostages could have died, Nick.","00:14:03,573 "," 00:14:05,053"
I sent the greatest soldier in historyto make sure that didn't happen.,"00:14:05,213 "," 00:14:08,774"
Soldiers trust each other.That's what makes it an army.,"00:14:08,973 "," 00:14:11,173"
Not a bunch of guysrunning around shooting guns.,"00:14:11,293 "," 00:14:12,897"
"Last time I trusted someone,I lost an eye.","00:14:13,093 "," 00:14:16,302"
"Look, I didn't want you doinganything you weren't comfortable with.","00:14:17,293 "," 00:14:20,695"
Agent Romanoff is comfortablewith everything.,"00:14:20,853 "," 00:14:22,981"
I can't lead a mission,"00:14:23,173 "," 00:14:24,334"
when the people I'm leadinghave missions of their own.,"00:14:24,533 "," 00:14:26,262"
It's called compartmentalisation.,"00:14:26,453 "," 00:14:29,104"
"Nobody spills the secrets,because nobody knows them all.","00:14:29,293 "," 00:14:31,978"
Except you.,"00:14:32,933 "," 00:14:33,900"
You're wrong about me.,"00:14:37,613 "," 00:14:39,138"
I do share.,"00:14:39,973 "," 00:14:41,213"
I'm nice like that.,"00:14:42,413 "," 00:14:43,983"
Insight bay.,"00:14:45,893 "," 00:14:46,988"
Captain Rogers does not have,"00:14:47,013 "," 00:14:48,094"
clearance for Project Insight.,"00:14:48,333 "," 00:14:49,533"
"Director override. Fury, Nicholas J.","00:14:49,693 "," 00:14:52,173"
Confirmed.,"00:14:52,293 "," 00:14:53,863"
"You know, they used to play music.","00:14:56,453 "," 00:14:58,296"
Yeah.,"00:14:58,973 "," 00:14:59,974"
My grandfather operated oneof these things for 40 years.,"00:15:00,133 "," 00:15:03,694"
Granddad worked in a nice building.,"00:15:03,933 "," 00:15:06,220"
Got good tips.,"00:15:06,413 "," 00:15:07,619"
"He'd walk home every night,a roll of ones stuffed in his lunch bag.","00:15:08,213 "," 00:15:12,298"
"He'd say, Hi.","00:15:12,493 "," 00:15:13,824"
"People would say, Hi back.","00:15:14,053 "," 00:15:15,896"
"Time went on,the neighbourhood got rougher.","00:15:16,653 "," 00:15:19,148"
"He'd say, Hi.","00:15:19,173 "," 00:15:20,174"
"They'd say, Keep on steppin'.","00:15:20,853 "," 00:15:22,742"
Granddad got to gripping thatlunch bag a little tighter.,"00:15:22,933 "," 00:15:25,173"
Did he ever get mugged?,"00:15:25,973 "," 00:15:26,974"
"Every week some punk would say,What's in the bag?","00:15:29,093 "," 00:15:31,937"
What would he do?,"00:15:32,173 "," 00:15:33,823"
He'd show them.,"00:15:34,013 "," 00:15:35,174"
"Bunch of crumpled ones,and a loaded .22 Magnum.","00:15:35,813 "," 00:15:39,215"
"Yeah, Granddad loved people.","00:15:43,373 "," 00:15:45,057"
But he didn't trust them very much.,"00:15:46,013 "," 00:15:48,300"
"Yeah, I know.","00:15:54,093 "," 00:15:55,822"
They're a little bit bigger than a .22.,"00:15:56,013 "," 00:15:58,334"
This is Project Insight.,"00:16:32,693 "," 00:16:35,094"
Three nextgeneration helicarriers,"00:16:35,293 "," 00:16:37,455"
synced to a networkof targeting satellites.,"00:16:37,693 "," 00:16:40,344"
Launched from the Lemurian Star.,"00:16:40,573 "," 00:16:42,302"
"Once we get them in the air,they never need to come down.","00:16:42,533 "," 00:16:45,503"
"Continuous suborbital flight,courtesy of our new repulsor engines.","00:16:45,733 "," 00:16:50,580"
Stark?,"00:16:50,773 "," 00:16:52,108"
He had a few suggestions,"00:16:52,133 "," 00:16:53,428"
once he got an upclose lookat our old turbines.,"00:16:53,453 "," 00:16:55,774"
These new longrange precision guns,"00:16:56,653 "," 00:16:59,099"
"can eliminate 1,000 hostiles a minute.","00:16:59,253 "," 00:17:01,699"
