Line,Strat Time,End Time
Right.,"00:14:34,457 "," 00:14:35,666"
You know all that scientific equipmentyou don't look at anymore?,"00:14:36,209 "," 00:14:38,377"
You might wantto start looking at it again.,"00:14:39,295 "," 00:14:41,255"
This is the reasonwe came all the way out here.,"00:14:41,381 "," 00:14:43,423"
It's malfunctioning.,"00:14:43,550 "," 00:14:44,550"
That's what I said.,"00:14:44,634 "," 00:14:45,634"
That's what I did.,"00:14:47,178 "," 00:14:48,595"
I thought you would do somethinga little more scientific.,"00:14:48,680 "," 00:14:50,639"
" I'm sure it's nothing. Yeah, it's...","00:14:50,807 "," 00:14:52,349"
It doesn't look like nothing.,"00:14:52,433 "," 00:14:53,600"
It kind of looks like the readingsthat Erik was rambling about.,"00:14:53,726 "," 00:14:55,936"
Our friend Erik,"00:14:56,271 "," 00:14:57,354"
kind of went banana balls.,"00:14:57,981 "," 00:14:59,481"
He's not interested.,"00:14:59,607 "," 00:15:00,566"
 I'm not interested. I'm interested.,"00:15:00,650 "," 00:15:01,650"
It's time for you to go now.,"00:15:01,901 "," 00:15:03,318"
Okay.,"00:15:04,696 "," 00:15:05,779"
Short but sweet.,"00:15:08,992 "," 00:15:10,158"
She needs help.,"00:15:10,243 "," 00:15:11,952"
I think I'm going to have the sea bass.,"00:15:15,331 "," 00:15:17,165"
"Sea bass, yeah. Sea bass is good.","00:15:17,333 "," 00:15:19,209"
"Sea bass, sea bass, sea bass,sea bass, sea bass, sea bass.","00:15:20,253 "," 00:15:24,673"
Sea bass...,"00:15:24,841 "," 00:15:27,301"
Sea bass.,"00:15:28,595 "," 00:15:29,595"
Jane?,"00:15:29,679 "," 00:15:31,096"
Maybe you should stopsaying sea bass,"00:15:31,180 "," 00:15:32,764"
and go after your friend.,"00:15:32,849 "," 00:15:33,890"
This was so fun.,"00:15:34,892 "," 00:15:36,018"
I'll just stay hereand say sea bass alone.,"00:15:37,020 "," 00:15:38,937"
And I hate you.,"00:15:46,821 "," 00:15:47,821"
What? I said he was cute.,"00:15:48,615 "," 00:15:50,574"
Just shut up and drive.,"00:15:50,908 "," 00:15:52,701"
You need to take the next left.,"00:16:01,836 "," 00:16:02,836"
 Who's he? He's my intern.,"00:16:04,297 "," 00:16:06,048"
" You have an intern? Oh, yeah.","00:16:06,591 "," 00:16:08,383"
"Hello, Dr. Foster.","00:16:08,635 "," 00:16:10,510"
It's such a great honorto be working with you.,"00:16:10,637 "," 00:16:12,220"
Right. I have to call Erik.,"00:16:12,722 "," 00:16:14,848"
"Oh, take a right.","00:16:14,974 "," 00:16:16,308"
And a left.,"00:16:18,561 "," 00:16:19,645"
I have totally mastereddriving in London.,"00:16:21,731 "," 00:16:24,691"
"Hi, Erik. It's me again. Where are you?","00:16:24,817 "," 00:16:28,320"
"I came here because you said you wereonto something, and then you vanish.","00:16:28,446 "," 00:16:31,239"
I'm here at Stonehenge,"00:16:31,491 "," 00:16:32,908"
for what has been aninteresting unfolding of events today.,"00:16:33,076 "," 00:16:36,244"
The police were called to the scene,"00:16:36,579 "," 00:16:38,080"
shortly after 11 A.M. this morning,"00:16:38,164 "," 00:16:39,665"
after a seemingly harmless ramblerapproached the area,"00:16:39,749 "," 00:16:43,168"
"then, decided to strip nakedand effectively","00:16:43,252 "," 00:16:46,046"
terrorize tourists therewith scientific equipment,"00:16:46,172 "," 00:16:48,298"
whilst shoutingthat he was trying to save them.,"00:16:48,591 "," 00:16:51,301"
"The man, later identifiedas noted astrophysicist Dr. Erik Selvig","00:16:51,844 "," 00:16:55,681"
has been called infor questioning by police.,"00:16:55,765 "," 00:16:58,392"
"Come on, this is exciting.","00:17:00,645 "," 00:17:02,437"
Look! The intern is excited.,"00:17:03,106 "," 00:17:04,731"
Ian.,"00:17:04,941 "," 00:17:06,066"
Do you want the phase meter?,"00:17:06,192 "," 00:17:07,651"
 No. Bring the phase meter.,"00:17:07,735 "," 00:17:09,194"
The toasterlooking thing.,"00:17:10,113 "," 00:17:11,154"
Yeah. I know what the phase meter is.,"00:17:11,322 "," 00:17:13,865"
How do I change the ringtoneon this thing?,"00:17:21,541 "," 00:17:23,917"
An astrophysicist with three degrees,"00:17:24,001 "," 00:17:25,961"
should be ableto change her own ringtone.,"00:17:26,045 "," 00:17:27,796"
Why are you calling me?,"00:17:27,922 "," 00:17:29,381"
I didn't want to shout.Intern says it's this way.,"00:17:29,465 "," 00:17:31,717"
 Ian. My name is Ian. Shh.,"00:17:31,801 "," 00:17:33,844"
I am not getting stabbedin the name of science.,"00:17:47,358 "," 00:17:51,027"
"It's okay, we're Americans.","00:17:51,154 "," 00:17:52,654"
Is that supposed to make them like us?,"00:17:52,739 "," 00:17:54,698"
They'll make it go away.Shh.,"00:17:54,782 "," 00:17:56,533"
"Oh, they're kids.","00:17:58,870 "," 00:18:00,454"
Are you the police?,"00:18:00,788 "," 00:18:01,913"
"No, we're scientists. Well, I am.","00:18:02,540 "," 00:18:05,250"
Thanks.,"00:18:05,543 "," 00:18:06,626"
We just found it.,"00:18:06,753 "," 00:18:08,420"
Can you show us?,"00:18:10,631 "," 00:18:11,840"
That doesn't seem right.,"00:18:38,326 "," 00:18:40,827"
Where'd it go?,"00:18:57,720 "," 00:18:58,887"
That's...,"00:19:12,443 "," 00:19:13,443"
That's incredible!,"00:19:14,028 "," 00:19:15,111"
What happened?,"00:19:28,835 "," 00:19:30,252"
Sometimes they come back.,"00:19:30,419 "," 00:19:31,795"
Sometimes they don't.,"00:19:32,088 "," 00:19:33,505"
I want to throw something!,"00:19:36,259 "," 00:19:37,676"
"Jane, give me your shoe.","00:19:37,802 "," 00:19:38,927"
I haven't seen readings like this since...,"00:19:41,430 "," 00:19:43,723"
Since...,"00:19:44,350 "," 00:19:45,350"
New Mexico?,"00:19:45,476 "," 00:19:46,476"
Don't touch anything!,"00:19:51,023 "," 00:19:52,941"
